*****************************
Basic coeficients
*****************************
Alpha, Cd
  -10.00    ,    .6243E-02,    .3658E-02,    .1507E-02,   -.2368E-05,   -.8628E-03,   -.1082E-02,   -.9143E-03,   -.5857E-03
  -8.000    ,    .5325E-02,    .3031E-02,    .1194E-02,   -.1742E-05,   -.5495E-03,   -.4550E-03,   -.1067E-03,    .3825E-03
  -6.000    ,    .4406E-02,    .2405E-02,    .8804E-03,   -.1115E-05,   -.2363E-03,    .1714E-03,    .7007E-03,    .1351E-02
  -5.000    ,    .3946E-02,    .2091E-02,    .7234E-03,   -.8014E-06,   -.7931E-04,    .4855E-03,    .1106E-02,    .1836E-02
  -4.000    ,    .3484E-02,    .1776E-02,    .5658E-03,   -.4863E-06,    .7824E-04,    .8006E-03,    .1512E-02,    .2323E-02
  -2.000    ,    .2554E-02,    .1142E-02,    .2489E-03,    .1476E-06,    .3952E-03,    .1434E-02,    .2329E-02,    .3302E-02
  -1.000    ,    .2095E-02,    .8284E-03,    .9214E-04,    .4611E-06,    .5519E-03,    .1748E-02,    .2733E-02,    .3787E-02
    .000    ,    .1640E-02,    .5184E-03,   -.6285E-04,    .7711E-06,    .7069E-03,    .2058E-02,    .3132E-02,    .4266E-02
   1.000    ,    .1186E-02,    .2083E-03,   -.2179E-03,    .1081E-05,    .8620E-03,    .2368E-02,    .3532E-02,    .4745E-02
   2.000    ,    .7338E-03,   -.1000E-03,   -.3720E-03,    .1389E-05,    .1016E-02,    .2676E-02,    .3929E-02,    .5222E-02
   4.000    ,   -.1679E-03,   -.7150E-03,   -.6795E-03,    .2004E-05,    .1324E-02,    .3291E-02,    .4722E-02,    .6172E-02
   5.000    ,   -.6179E-03,   -.1022E-02,   -.8330E-03,    .2311E-05,    .1477E-02,    .3598E-02,    .5118E-02,    .6646E-02
   8.000    ,   -.1976E-02,   -.1948E-02,   -.1296E-02,    .3237E-05,    .1940E-02,    .4525E-02,    .6312E-02,    .8078E-02
   10.00    ,   -.2905E-02,   -.2582E-02,   -.1613E-02,    .3871E-05,    .2257E-02,    .5158E-02,    .7129E-02,    .9057E-02
   12.00    ,   -.3909E-02,   -.3266E-02,   -.1955E-02,    .4556E-05,    .2599E-02,    .5843E-02,    .8011E-02,    .1011E-01
   14.00    ,   -.5056E-02,   -.4049E-02,   -.2346E-02,    .5340E-05,    .2990E-02,    .6625E-02,    .9019E-02,    .1132E-01
   16.00    ,   -.6288E-02,   -.4889E-02,   -.2767E-02,    .6181E-05,    .3411E-02,    .7466E-02,    .1010E-01,    .1262E-01
   18.00    ,   -.7637E-02,   -.5809E-02,   -.3227E-02,    .7103E-05,    .3871E-02,    .8386E-02,    .1129E-01,    .1404E-01

DeltaElev, CL_Elev
  -15.00    ,   -.4814E-01
  -10.00    ,   -.3283E-01
  -5.000    ,   -.1642E-01
    .000    ,    .3283E-04
   5.000    ,    .1642E-01
   10.00    ,    .3283E-01
   13.00    ,    .4232E-01
   16.00    ,    .5075E-01

DeltaElev, Cm_Elev
  -15.00    ,    .2752    
  -10.00    ,    .1880    
  -5.000    ,    .9402E-01
    .000    ,   -.1880E-03
   5.000    ,   -.9402E-01
   10.00    ,   -.1880    
   13.00    ,   -.2420    
   16.00    ,   -.2901    

DeltaElev, CLa_Elev
  -15.00    ,     .000    
  -10.00    ,     .000    
  -5.000    ,     .000    
    .000    ,     .000    
   5.000    ,     .000    
   10.00    ,     .000    
